tier_snapshot_id,fetched_at,tier_updated_at,tier_updated_date,tier_mode,tier_mode_cn,character_slug,character_name_en,character_name_cn,prydwen_category,prydwen_role,role_group,role_group_cn,tier,rating,tags,marks,is_new,element,element_cn,style,style_cn,faction,rarity,icon_url,source_url,collect_date,phase_ver,phase_name,app_rate,avg_score,quality_flag
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,seed,Seed,「席德」,CritDPS,直伤主C,crit_dps,直伤主C,T0.5,10,,,,Electric,电,Attack,强攻,OBOLS Squad,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/seed.webp,https://www.prydwen.gg/zenless/tier-list,2026-06-02,2.8.2,式舆防卫 2.8.2,19.69,28309,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,seed,Seed,「席德」,CritDPS,直伤主C,crit_dps,直伤主C,T0.5,10,,,,Electric,电,Attack,强攻,OBOLS Squad,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/seed.webp,https://www.prydwen.gg/zenless/tier-list,2026-06-15,2.8.3,式舆防卫 2.8.3,5.64,30314,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,seed,Seed,「席德」,CritDPS,直伤主C,crit_dps,直伤主C,T0.5,10,,,,Electric,电,Attack,强攻,OBOLS Squad,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/seed.webp,https://www.prydwen.gg/zenless/tier-list,2026-06-21,2.8.3,式舆防卫 2.8.3,5.47,30041,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,seed,Seed,「席德」,CritDPS,直伤主C,crit_dps,直伤主C,T0.5,10,,,,Electric,电,Attack,强攻,OBOLS Squad,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/seed.webp,https://www.prydwen.gg/zenless/tier-list,2026-02-17,2.6.1,危局强袭 2.6.1,1.73,23383,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,seed,Seed,「席德」,CritDPS,直伤主C,crit_dps,直伤主C,T0.5,10,,,,Electric,电,Attack,强攻,OBOLS Squad,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/seed.webp,https://www.prydwen.gg/zenless/tier-list,2026-03-10,2.6.2,危局强袭 2.6.2,10.31,23408,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,seed,Seed,「席德」,CritDPS,直伤主C,crit_dps,直伤主C,T0.5,10,,,,Electric,电,Attack,强攻,OBOLS Squad,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/seed.webp,https://www.prydwen.gg/zenless/tier-list,2026-03-31,2.7.1,危局强袭 2.7.1,0.99,23622,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,seed,Seed,「席德」,CritDPS,直伤主C,crit_dps,直伤主C,T0.5,10,,,,Electric,电,Attack,强攻,OBOLS Squad,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/seed.webp,https://www.prydwen.gg/zenless/tier-list,2026-04-21,2.7.2,危局强袭 2.7.2,15.81,26401,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,seed,Seed,「席德」,CritDPS,直伤主C,crit_dps,直伤主C,T0.5,10,,,,Electric,电,Attack,强攻,OBOLS Squad,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/seed.webp,https://www.prydwen.gg/zenless/tier-list,2026-05-11,2.8.1,危局强袭 2.8.1,15.15,27820,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,seed,Seed,「席德」,CritDPS,直伤主C,crit_dps,直伤主C,T0.5,10,,,,Electric,电,Attack,强攻,OBOLS Squad,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/seed.webp,https://www.prydwen.gg/zenless/tier-list,2026-06-02,2.8.2,危局强袭 2.8.2,1.88,18628,ok
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,seed,Seed,「席德」,CritDPS,直伤主C,crit_dps,直伤主C,T0.5,10,,,,Electric,电,Attack,强攻,OBOLS Squad,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/seed.webp,https://www.prydwen.gg/zenless/tier-list,2026-06-15,2.8.3,危局强袭 2.8.3,16.67,26453,ok
