snapshot_id,collect_date,mode,mode_cn,sub_mode,sub_mode_cn,phase_ver,phase_name,start_date,end_date,character_slug,character_name_en,character_name_cn,role,rarity,app_rate,avg_score,sample,sample_players,cons_avg,char_level,w_engine_level,core_skill,source_kind,source_file,source_url,quality_flag
2.6.2,2026-03-10,da,危局强袭,1-3,首领 3,2.6.2,危局强袭 2.6.2,2026-02-27,2026-03-13,ben,Ben Bigger,本·比格,直伤主C,A,0.01,0,4,3,6.0,60.0,60.0,7.0,hf_builds,2.6.2/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.2/builds.json,ok
2.7.1,2026-03-31,da,危局强袭,1-3,首领 3,2.7.1,危局强袭 2.7.1,2026-03-27,2026-04-10,ben,Ben Bigger,本·比格,直伤主C,A,0.01,0,7,9,6.0,60.0,60.0,7.0,hf_builds,2.7.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.7.1/builds.json,ok
2.7.2,2026-04-21,da,危局强袭,1-3,首领 3,2.7.2,危局强袭 2.7.2,2026-04-10,2026-04-24,ben,Ben Bigger,本·比格,直伤主C,A,0.03,0,5,5,6.0,60.0,60.0,7.0,hf_builds,2.7.2/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.7.2/builds.json,ok
2.8.1,2026-05-11,da,危局强袭,1-3,首领 3,2.8.1,危局强袭 2.8.1,2026-05-08,2026-05-22,ben,Ben Bigger,本·比格,直伤主C,A,0.01,0,4,4,6.0,60.0,60.0,7.0,hf_builds,2.8.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.1/builds.json,ok
2.8.2,2026-06-02,da,危局强袭,1-3,首领 3,2.8.2,危局强袭 2.8.2,2026-05-22,2026-06-05,ben,Ben Bigger,本·比格,直伤主C,A,0.01,0,2,1,6.0,60.0,60.0,7.0,hf_builds,2.8.2/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.2/builds.json,ok
2.8.3,2026-06-15,da,危局强袭,1-3,首领 3,2.8.3,危局强袭 2.8.3,2026-06-05,2026-06-19,ben,Ben Bigger,本·比格,直伤主C,A,0.01,0,3,3,6.0,60.0,60.0,7.0,hf_builds,2.8.3/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.8.3/builds.json,ok
3.0.1,2026-06-21,da,危局强袭,1-3,首领 3,3.0.1,危局强袭 3.0.1,2026-06-19,2026-07-03,ben,Ben Bigger,本·比格,直伤主C,A,0.01,0,4,3,6.0,60.0,60.0,7.0,hf_builds,3.0.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/3.0.1/builds.json,ok
2.6.1,2026-02-17,da,危局强袭,1-3,首领 3,2.6.1,危局强袭 2.6.1,2026-02-13,2026-02-27,billy-kid,Billy Kid,比利·奇德,直伤主C,A,0.0,0,44,16,6.0,60.0,60.0,7.0,hf_builds,2.6.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/builds.json,ok
2.6.2,2026-03-10,da,危局强袭,1-3,首领 3,2.6.2,危局强袭 2.6.2,2026-02-27,2026-03-13,billy-kid,Billy Kid,比利·奇德,直伤主C,A,0.0,0,46,32,6.0,60.0,60.0,7.0,hf_builds,2.6.2/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.2/builds.json,ok
2.7.1,2026-03-31,da,危局强袭,1-3,首领 3,2.7.1,危局强袭 2.7.1,2026-03-27,2026-04-10,billy-kid,Billy Kid,比利·奇德,直伤主C,A,0.01,0,6,8,6.0,60.0,60.0,7.0,hf_builds,2.7.1/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.7.1/builds.json,ok
2.7.2,2026-04-21,da,危局强袭,1-3,首领 3,2.7.2,危局强袭 2.7.2,2026-04-10,2026-04-24,billy-kid,Billy Kid,比利·奇德,直伤主C,A,0.22,22063,47,36,6.0,60.0,60.0,7.0,hf_builds,2.7.2/builds.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.7.2/builds.json,ok
