team_signature,team_slugs,team_cn,confidence,record_count,snapshot_count,phase_count,mode_count,scope_count,boss_count,source_kind_count,max_app_rate,median_app_rate,best_rank,best_score,non_sentinel_score_count,sentinel_score_count,modes,phase_versions,scopes,source_kinds,evidence_comment,risk_comment
alice|sunna|trigger,"alice, sunna, trigger",爱丽丝·泰姆菲尔德 / 千夏 / 「扳机」,B-,1,1,1,1,1,1,1,0.01,0.01,124,28142,1,0,sd,sd:2.6.1,5-1_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
alice|trigger|velina,"alice, trigger, velina",爱丽丝·泰姆菲尔德 / 「扳机」 / 维琳娜·艾嘉德,B-,1,1,1,1,1,1,1,0.01,0.01,126,20025,1,0,da,da:3.0.1,1-1_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
alice|velina|vivian,"alice, velina, vivian",爱丽丝·泰姆菲尔德 / 维琳娜·艾嘉德 / 薇薇安·班希,B-,1,1,1,1,1,1,1,0.01,0.01,126,21734,1,0,da,da:3.0.1,1-1_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
anby-demara-soldier-0|caesar|dialyn,"anby-demara-soldier-0, caesar, dialyn",零号·安比 / 凯撒·金 / 琉音,B-,1,1,1,1,1,1,1,0.01,0.01,176,23532,1,0,da,da:2.8.3,1-3_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
anby-demara-soldier-0|caesar|rina,"anby-demara-soldier-0, caesar, rina",零号·安比 / 凯撒·金 / 亚历山德丽娜·莎芭丝缇安,B-,1,1,1,1,1,1,1,0.01,0.01,222,25538,1,0,sd,sd:2.6.1,5-2_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
anby-demara-soldier-0|caesar|seed,"anby-demara-soldier-0, caesar, seed",零号·安比 / 凯撒·金 / 「席德」,B-,1,1,1,1,1,1,1,0.01,0.01,222,26547,1,0,sd,sd:2.6.1,5-2_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
anby-demara-soldier-0|cissia|ju-fufu,"anby-demara-soldier-0, cissia, ju-fufu",零号·安比 / 希希芙 / 橘福福,B-,1,1,1,1,1,1,1,0.01,0.01,201,26042,1,0,sd,sd:2.7.3,5-2_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
anby-demara-soldier-0|cissia|nicole-demara,"anby-demara-soldier-0, cissia, nicole-demara",零号·安比 / 希希芙 / 妮可·德玛拉,B-,1,1,1,1,1,1,1,0.01,0.01,176,25088,1,0,sd,sd:2.7.2,5-2_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
anby-demara-soldier-0|cissia|ukinami-yuzuha,"anby-demara-soldier-0, cissia, ukinami-yuzuha",零号·安比 / 希希芙 / 浮波柚叶,B-,1,1,1,1,1,1,1,0.01,0.01,214,19546,1,0,sd,sd:2.8.2,5-3_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
anby-demara-soldier-0|dialyn|lucy,"anby-demara-soldier-0, dialyn, lucy",零号·安比 / 琉音 / 露西亚娜·德·蒙特夫,B-,1,1,1,1,1,1,1,0.01,0.01,222,27190,1,0,sd,sd:2.6.1,5-2_combined.json,hf_comps,record_count=1；phase_count=1；mode_count=1；boss_count=1；max_app_rate=0.01；median_app_rate=0.01,记录稀疏或出场率较低
