snapshot_id,collect_date,mode,mode_cn,sub_mode,sub_mode_cn,phase_ver,phase_name,scope,rank,char_1_slug,char_2_slug,char_3_slug,bangboo_slug,char_1_name_cn,char_2_name_cn,char_3_name_cn,bangboo_name_cn,app_rate,avg_score,avg_score_m1,source_kind,source_file,source_url,raw_index,raw_json
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,miyabi,ju-fufu,astra-yao,sharkboo,星见 雅,橘福福,耀嘉音,鲨牙布,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,570,"{""char_one"":""miyabi"",""char_two"":""ju-fufu"",""char_three"":""astra-yao"",""bangboo"":""sharkboo"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,alice,vivian,caesar,robin,爱丽丝·泰姆菲尔德,薇薇安·班希,凯撒·金,罗宾,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,571,"{""char_one"":""alice"",""char_two"":""vivian"",""char_three"":""caesar"",""bangboo"":""robin"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,miyabi,orphie-and-magus,ukinami-yuzuha,sharkboo,星见 雅,奥菲丝·马格努森 & 「鬼火」,浮波柚叶,鲨牙布,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,572,"{""char_one"":""miyabi"",""char_two"":""orphie-and-magus"",""char_three"":""ukinami-yuzuha"",""bangboo"":""sharkboo"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,soldier-11,dialyn,sunna,bangvolver,「11号」,琉音,千夏,左轮布,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,573,"{""char_one"":""soldier-11"",""char_two"":""dialyn"",""char_three"":""sunna"",""bangboo"":""bangvolver"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,evelyn,lighter,koleda,snap,伊芙琳·舒瓦利耶,莱特,珂蕾妲·贝洛伯格,咔嚓仔,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,574,"{""char_one"":""evelyn"",""char_two"":""lighter"",""char_three"":""koleda"",""bangboo"":""snap"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,manato,evelyn,astra-yao,snap,狛野真斗,伊芙琳·舒瓦利耶,耀嘉音,咔嚓仔,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,575,"{""char_one"":""manato"",""char_two"":""evelyn"",""char_three"":""astra-yao"",""bangboo"":""snap"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,grace-howard,vivian,trigger,snap,格莉丝·霍华德,薇薇安·班希,「扳机」,咔嚓仔,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,576,"{""char_one"":""grace-howard"",""char_two"":""vivian"",""char_three"":""trigger"",""bangboo"":""snap"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,ye-shunguang,ukinami-yuzuha,sunna,sprout,叶瞬光,浮波柚叶,千夏,芽芽,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,577,"{""char_one"":""ye-shunguang"",""char_two"":""ukinami-yuzuha"",""char_three"":""sunna"",""bangboo"":""sprout"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,anby-demara-soldier-0,qingyi,rina,plugboo,零号·安比,青衣,亚历山德丽娜·莎芭丝缇安,插头布,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,578,"{""char_one"":""anby-demara-soldier-0"",""char_two"":""qingyi"",""char_three"":""rina"",""bangboo"":""plugboo"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,soldier-11,trigger,zhao,rocketboo,「11号」,「扳机」,照,飚速布,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,579,"{""char_one"":""soldier-11"",""char_two"":""trigger"",""char_three"":""zhao"",""bangboo"":""rocketboo"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
2.6.1,2026-02-17,sd,式舆防卫,all,全部,2.6.1,式舆防卫 2.6.1,top_combined.json,650,orphie-and-magus,trigger,lighter,cryboo,奥菲丝·马格努森 & 「鬼火」,「扳机」,莱特,泪眼布,0.0,0,0,hf_comps,2.6.1/sd/comps/top_combined.json,https://huggingface.co/datasets/LvlUrArti/ShiyuDataProcessed/resolve/main/2.6.1/sd/comps/top_combined.json,580,"{""char_one"":""orphie-and-magus"",""char_two"":""trigger"",""char_three"":""lighter"",""bangboo"":""cryboo"",""app_rate"":0.0,""rank"":650,""avg_round"":0,""avg_round_m1"":0}"
