tier_snapshot_id,fetched_at,tier_updated_at,tier_updated_date,tier_mode,tier_mode_cn,character_slug,character_name_en,character_name_cn,prydwen_category,prydwen_role,role_group,role_group_cn,tier,rating,tags,marks,is_new,element,element_cn,style,style_cn,faction,rarity,icon_url,source_url
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,dialyn,Dialyn,琉音,Support,辅助,support,辅助,T0,11,,,,Physical,物理,Stun,击破,Krampus Compliance Authority,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/dialyn.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,ellen,Ellen Joe,艾莲·乔,CritDPS,直伤主C,crit_dps,直伤主C,T1.5,8,,down,,Ice,冰,Attack,强攻,Victoria Housekeeping Co.,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/ellen.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,ellen,Ellen Joe,艾莲·乔,CritDPS,直伤主C,crit_dps,直伤主C,T1.5,8,,down,,Ice,冰,Attack,强攻,Victoria Housekeeping Co.,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/ellen.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,evelyn,Evelyn Chevalier,伊芙琳·舒瓦利耶,CritDPS,直伤主C,crit_dps,直伤主C,T1,9,,down,,Fire,火,Attack,强攻,Stars of Lyra,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/evelyn.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,evelyn,Evelyn Chevalier,伊芙琳·舒瓦利耶,CritDPS,直伤主C,crit_dps,直伤主C,T1,9,,down,,Fire,火,Attack,强攻,Stars of Lyra,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/evelyn.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,grace-howard,Grace Howard,格莉丝·霍华德,AnoDPS,异常主C,anomaly_dps,异常主C,T1.5,8,Watchlist [UP],"up,watch",,Electric,电,Anomaly,异常,Belobog Heavy Industries,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/grace-howard.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,grace-howard,Grace Howard,格莉丝·霍华德,AnoDPS,异常主C,anomaly_dps,异常主C,T1.5,8,Watchlist [UP],"up,watch",,Electric,电,Anomaly,异常,Belobog Heavy Industries,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/grace-howard.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,harumasa,Asaba Harumasa,浅羽 悠真,CritDPS,直伤主C,crit_dps,直伤主C,T1,9,Expert,,,Electric,电,Attack,强攻,Section 6,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/harumasa.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,harumasa,Asaba Harumasa,浅羽 悠真,CritDPS,直伤主C,crit_dps,直伤主C,T1,9,Expert,,,Electric,电,Attack,强攻,Section 6,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/harumasa.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,hugo,Hugo Vlad,雨果·维拉德,CritDPS,直伤主C,crit_dps,直伤主C,T1.5,8,,down,,Ice,冰,Attack,强攻,Mockingbird,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/hugo.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,hugo,Hugo Vlad,雨果·维拉德,CritDPS,直伤主C,crit_dps,直伤主C,T1.5,8,,down,,Ice,冰,Attack,强攻,Mockingbird,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/hugo.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,sd,式舆防卫,jane-doe,Jane Doe,简·杜,AnoDPS,异常主C,anomaly_dps,异常主C,T1,9,,,,Physical,物理,Anomaly,异常,N.E.P.S.,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/jane-doe.webp,https://www.prydwen.gg/zenless/tier-list
20260617,2026-07-05T12:48:56,17/June/2026,2026-06-17,da,危局强袭,jane-doe,Jane Doe,简·杜,AnoDPS,异常主C,anomaly_dps,异常主C,T1,9,,,,Physical,物理,Anomaly,异常,N.E.P.S.,S,https://cdn.prydwen.gg/images/zenless-zone-zero/characters/jane-doe.webp,https://www.prydwen.gg/zenless/tier-list
